Target: http://cozyhosting.htb/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00001:  C=301      7 L	      12 W	    178 Ch	  "www"
00012:  C=301      7 L	      12 W	    178 Ch	  "ns2"
00014:  C=301      7 L	      12 W	    178 Ch	  "autoconfig"
00010:  C=301      7 L	      12 W	    178 Ch	  "whm"
00007:  C=301      7 L	      12 W	    178 Ch	  "webdisk"
00016:  C=301      7 L	      12 W	    178 Ch	  "test"
00011:  C=301      7 L	      12 W	    178 Ch	  "ns1"
00003:  C=301      7 L	      12 W	    178 Ch	  "ftp"
00013:  C=301      7 L	      12 W	    178 Ch	  "autodiscover"
00015:  C=301      7 L	      12 W	    178 Ch	  "ns"
00009:  C=301      7 L	      12 W	    178 Ch	  "cpanel"
00006:  C=301      7 L	      12 W	    178 Ch	  "smtp"
00004:  C=301      7 L	      12 W	    178 Ch	  "localhost"
00017:  C=301      7 L	      12 W	    178 Ch	  "m"
00031:  C=301      7 L	      12 W	    178 Ch	  "mobile"
00008:  C=301      7 L	      12 W	    178 Ch	  "pop"
00005:  C=301      7 L	      12 W	    178 Ch	  "webmail"
00023:  C=301      7 L	      12 W	    178 Ch	  "forum"
00019:  C=301      7 L	      12 W	    178 Ch	  "dev"
00002:  C=301      7 L	      12 W	    178 Ch	  "mail"
00042:  C=301      7 L	      12 W	    178 Ch	  "static"
00041:  C=301      7 L	      12 W	    178 Ch	  "dns1"
00040:  C=301      7 L	      12 W	    178 Ch	  "ns4"
00039:  C=301      7 L	      12 W	    178 Ch	  "dns2"
00038:  C=301      7 L	      12 W	    178 Ch	  "demo"
00033:  C=301      7 L	      12 W	    178 Ch	  "beta"
00035:  C=301      7 L	      12 W	    178 Ch	  "cp"
00037:  C=301      7 L	      12 W	    178 Ch	  "shop"
00034:  C=301      7 L	      12 W	    178 Ch	  "support"
00036:  C=301      7 L	      12 W	    178 Ch	  "secure"
00030:  C=301      7 L	      12 W	    178 Ch	  "new"
00022:  C=301      7 L	      12 W	    178 Ch	  "pop3"
00027:  C=301      7 L	      12 W	    178 Ch	  "mx"
00021:  C=301      7 L	      12 W	    178 Ch	  "ns3"
00029:  C=301      7 L	      12 W	    178 Ch	  "old"
00026:  C=301      7 L	      12 W	    178 Ch	  "vpn"
00024:  C=301      7 L	      12 W	    178 Ch	  "admin"
00032:  C=301      7 L	      12 W	    178 Ch	  "mysql"
00025:  C=301      7 L	      12 W	    178 Ch	  "mail2"
00028:  C=301      7 L	      12 W	    178 Ch	  "imap"
00018:  C=301      7 L	      12 W	    178 Ch	  "blog"
00054:  C=301      7 L	      12 W	    178 Ch	  "www.blog"
00049:  C=301      7 L	      12 W	    178 Ch	  "server"
00052:  C=301      7 L	      12 W	    178 Ch	  "media"
00043:  C=301      7 L	      12 W	    178 Ch	  "lists"
00056:  C=301      7 L	      12 W	    178 Ch	  "dns"
00053:  C=301      7 L	      12 W	    178 Ch	  "images"
00020:  C=301      7 L	      12 W	    178 Ch	  "www2"
00055:  C=301      7 L	      12 W	    178 Ch	  "backup"
00045:  C=301      7 L	      12 W	    178 Ch	  "www1"
00046:  C=301      7 L	      12 W	    178 Ch	  "img"
00051:  C=301      7 L	      12 W	    178 Ch	  "api"
00044:  C=301      7 L	      12 W	    178 Ch	  "web"
00057:  C=301      7 L	      12 W	    178 Ch	  "sql"
00071:  C=301      7 L	      12 W	    178 Ch	  "search"
00048:  C=301      7 L	      12 W	    178 Ch	  "portal"
00050:  C=301      7 L	      12 W	    178 Ch	  "wiki"
00063:  C=301      7 L	      12 W	    178 Ch	  "video"
00059:  C=301      7 L	      12 W	    178 Ch	  "www.forum"
00047:  C=301      7 L	      12 W	    178 Ch	  "news"
00087:  C=301      7 L	      12 W	    178 Ch	  "apps"
00097:  C=301      7 L	      12 W	    178 Ch	  "info"
00100:  C=301      7 L	      12 W	    178 Ch	  "helpdesk"
00095:  C=301      7 L	      12 W	    178 Ch	  "live"
00102:  C=301      7 L	      12 W	    178 Ch	  "sms"
00099:  C=301      7 L	      12 W	    178 Ch	  "monitor"
00096:  C=301      7 L	      12 W	    178 Ch	  "files"
00103:  C=301      7 L	      12 W	    178 Ch	  "newsletter"
00098:  C=301      7 L	      12 W	    178 Ch	  "owa"
00101:  C=301      7 L	      12 W	    178 Ch	  "panel"
00094:  C=301      7 L	      12 W	    178 Ch	  "office"
00088:  C=301      7 L	      12 W	    178 Ch	  "dns3"
00090:  C=301      7 L	      12 W	    178 Ch	  "mail3"
00084:  C=301      7 L	      12 W	    178 Ch	  "proxy"
00092:  C=301      7 L	      12 W	    178 Ch	  "ns5"
00089:  C=301      7 L	      12 W	    178 Ch	  "exchange"
00085:  C=301      7 L	      12 W	    178 Ch	  "www.dev"
00093:  C=301      7 L	      12 W	    178 Ch	  "db"
00086:  C=301      7 L	      12 W	    178 Ch	  "mssql"
00091:  C=301      7 L	      12 W	    178 Ch	  "forums"
00083:  C=301      7 L	      12 W	    178 Ch	  "download"
00076:  C=301      7 L	      12 W	    178 Ch	  "remote"
00079:  C=301      7 L	      12 W	    178 Ch	  "wap"
00074:  C=301      7 L	      12 W	    178 Ch	  "ads"
00081:  C=301      7 L	      12 W	    178 Ch	  "store"
00078:  C=301      7 L	      12 W	    178 Ch	  "my"
00075:  C=301      7 L	      12 W	    178 Ch	  "ipv4"
00082:  C=301      7 L	      12 W	    178 Ch	  "cms"
00077:  C=301      7 L	      12 W	    178 Ch	  "email"
00080:  C=301      7 L	      12 W	    178 Ch	  "svn"
00069:  C=301      7 L	      12 W	    178 Ch	  "sip"
00073:  C=301      7 L	      12 W	    178 Ch	  "mx2"
00070:  C=301      7 L	      12 W	    178 Ch	  "chat"
00072:  C=301      7 L	      12 W	    178 Ch	  "crm"
00068:  C=301      7 L	      12 W	    178 Ch	  "www.m"
00065:  C=301      7 L	      12 W	    178 Ch	  "mx1"
00066:  C=301      7 L	      12 W	    178 Ch	  "www3"
00062:  C=301      7 L	      12 W	    178 Ch	  "host"
00067:  C=301      7 L	      12 W	    178 Ch	  "staging"
00064:  C=301      7 L	      12 W	    178 Ch	  "mail1"
00104:  C=301      7 L	      12 W	    178 Ch	  "ftp2"
00061:  C=301      7 L	      12 W	    178 Ch	  "stats"
00058:  C=301      7 L	      12 W	    178 Ch	  "intranet"
00060:  C=301      7 L	      12 W	    178 Ch	  "www.test"
00110:  C=301      7 L	      12 W	    178 Ch	  "login"
00106:  C=301      7 L	      12 W	    178 Ch	  "web2"
00118:  C=301      7 L	      12 W	    178 Ch	  "dns4"
00117:  C=301      7 L	      12 W	    178 Ch	  "gw"
00116:  C=301      7 L	      12 W	    178 Ch	  "stage"
00119:  C=301      7 L	      12 W	    178 Ch	  "www.demo"
00115:  C=301      7 L	      12 W	    178 Ch	  "cdn"
00114:  C=301      7 L	      12 W	    178 Ch	  "it"
00112:  C=301      7 L	      12 W	    178 Ch	  "en"
00113:  C=301      7 L	      12 W	    178 Ch	  "blogs"
00111:  C=301      7 L	      12 W	    178 Ch	  "app"
00108:  C=301      7 L	      12 W	    178 Ch	  "home"
00105:  C=301      7 L	      12 W	    178 Ch	  "web1"
00109:  C=301      7 L	      12 W	    178 Ch	  "bbs"
00120:  C=301      7 L	      12 W	    178 Ch	  "ssl"
00107:  C=301      7 L	      12 W	    178 Ch	  "upload"
00122:  C=301      7 L	      12 W	    178 Ch	  "smtp2"
00126:  C=301      7 L	      12 W	    178 Ch	  "online"
00150:  C=301      7 L	      12 W	    178 Ch	  "docs"
00134:  C=301      7 L	      12 W	    178 Ch	  "members"
00163:  C=301      7 L	      12 W	    178 Ch	  "facebook"
00161:  C=301      7 L	      12 W	    178 Ch	  "stat"
00162:  C=301      7 L	      12 W	    178 Ch	  "moodle"
00160:  C=301      7 L	      12 W	    178 Ch	  "server1"
00159:  C=301      7 L	      12 W	    178 Ch	  "sftp"
00158:  C=301      7 L	      12 W	    178 Ch	  "av"
00156:  C=301      7 L	      12 W	    178 Ch	  "meet"
00157:  C=301      7 L	      12 W	    178 Ch	  "cs"
00155:  C=301      7 L	      12 W	    178 Ch	  "de"
00154:  C=301      7 L	      12 W	    178 Ch	  "router"
00153:  C=301      7 L	      12 W	    178 Ch	  "legacy"
00152:  C=301      7 L	      12 W	    178 Ch	  "ad"
00149:  C=301      7 L	      12 W	    178 Ch	  "data"
00151:  C=301      7 L	      12 W	    178 Ch	  "c-n7k-n04-01.rz"
00148:  C=301      7 L	      12 W	    178 Ch	  "c-n7k-v03-01.rz"
00147:  C=301      7 L	      12 W	    178 Ch	  "www.new"
00146:  C=301      7 L	      12 W	    178 Ch	  "www.mail"
00145:  C=301      7 L	      12 W	    178 Ch	  "s"
00144:  C=301      7 L	      12 W	    178 Ch	  "survey"
00143:  C=301      7 L	      12 W	    178 Ch	  "i"
00142:  C=301      7 L	      12 W	    178 Ch	  "s1"
00141:  C=301      7 L	      12 W	    178 Ch	  "webdisk.blog"
00140:  C=301      7 L	      12 W	    178 Ch	  "services"
00139:  C=301      7 L	      12 W	    178 Ch	  "ldap"
00138:  C=301      7 L	      12 W	    178 Ch	  "hosting"
00137:  C=301      7 L	      12 W	    178 Ch	  "extranet"
00136:  C=301      7 L	      12 W	    178 Ch	  "www.shop"
00133:  C=301      7 L	      12 W	    178 Ch	  "www4"
00135:  C=301      7 L	      12 W	    178 Ch	  "tv"
00132:  C=301      7 L	      12 W	    178 Ch	  "help"
00131:  C=301      7 L	      12 W	    178 Ch	  "library"
00130:  C=301      7 L	      12 W	    178 Ch	  "ntp"
00129:  C=301      7 L	      12 W	    178 Ch	  "radio"
00128:  C=301      7 L	      12 W	    178 Ch	  "test2"
00125:  C=301      7 L	      12 W	    178 Ch	  "relay"
00127:  C=301      7 L	      12 W	    178 Ch	  "service"
00124:  C=301      7 L	      12 W	    178 Ch	  "ns6"
00121:  C=301      7 L	      12 W	    178 Ch	  "cn"
00123:  C=301      7 L	      12 W	    178 Ch	  "vps"
00164:  C=301      7 L	      12 W	    178 Ch	  "test1"
00170:  C=301      7 L	      12 W	    178 Ch	  "mailadmin"
00166:  C=301      7 L	      12 W	    178 Ch	  "partner"
00178:  C=301      7 L	      12 W	    178 Ch	  "host2"
00188:  C=301      7 L	      12 W	    178 Ch	  "cloud"
00187:  C=301      7 L	      12 W	    178 Ch	  "vpn2"
00186:  C=301      7 L	      12 W	    178 Ch	  "ns0"
00185:  C=301      7 L	      12 W	    178 Ch	  "control"
00184:  C=301      7 L	      12 W	    178 Ch	  "correo"
00183:  C=301      7 L	      12 W	    178 Ch	  "ssh"
00182:  C=301      7 L	      12 W	    178 Ch	  "im"
00180:  C=301      7 L	      12 W	    178 Ch	  "preview"
00181:  C=301      7 L	      12 W	    178 Ch	  "www.support"
00177:  C=301      7 L	      12 W	    178 Ch	  "image"
00179:  C=301      7 L	      12 W	    178 Ch	  "gateway"
00176:  C=301      7 L	      12 W	    178 Ch	  "jobs"
00175:  C=301      7 L	      12 W	    178 Ch	  "games"
00174:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.blog"
00173:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.blog"
00172:  C=301      7 L	      12 W	    178 Ch	  "ts"
00169:  C=301      7 L	      12 W	    178 Ch	  "s2"
00171:  C=301      7 L	      12 W	    178 Ch	  "dev2"
00168:  C=301      7 L	      12 W	    178 Ch	  "mrtg"
00165:  C=301      7 L	      12 W	    178 Ch	  "photo"
